restaurant_id,lat,lng,avg_prep_time
0,5.518481026933913,6.40199571877929,7.7510676478015075
1,1.4757798106515871,7.715512709397808,10.997914575728831
2,1.5757083481279672,7.545420915227943,10.73692986900744
3,1.1924775350830044,7.984870461054414,14.113172778521575
4,5.66222052076634,6.64966133768849,19.133026335272792
5,6.785842285812737,5.772671173543021,8.463407384332235
6,0.9538928000077967,7.848531473000721,12.427653651669052
7,2.1334238966235137,2.4426306193176828,14.93783426530973
8,6.166981882579999,5.612709547572758,13.515504917299872
9,6.178153383943376,6.750264762963349,6.327387530778792
10,1.4068447561514754,7.778857318404837,10.830159345342231
11,8.026324701542764,6.324760467084977,19.47882960896207
12,0.8993927450048123,7.996623607513492,17.032954711310595
13,3.974552549542151,8.468063996156133,10.923222772633546
14,2.5663016777120773,1.7945958283996561,16.852633107968085
15,2.144566178487205,1.936217465197141,6.738035892876946
16,3.2422443060051584,9.15553793917174,5.953375254290354
17,6.2151830051427694,7.342700636653776,18.308191138644897
18,4.159743562763907,8.565154974199986,17.733707363991257
19,6.556637220387407,6.8336712483650235,12.40693394546586
20,3.6888830710702445,8.772160671523794,11.590047527986552
21,2.291672657658578,2.0984524874566874,9.7153397161449
22,1.3548329534268397,8.107965451955355,11.155743845534445
23,3.0596093732101792,2.659822701177192,18.207017585228865
24,7.106675700253644,6.368361200042306,18.071908852815767
25,1.2572865801428625,7.230038725396552,18.249203883783025
26,6.69213894285224,5.358468846452128,18.60242662318631
27,3.800266874212821,7.87395697721327,17.270221488837397
28,3.561168473498363,8.352392841463567,13.011341290631629
29,5.260787196304992,7.12202278333137,8.661882833716612
30,2.3556185385868695,1.2367986960917536,15.545284383427667
31,3.9885792807730107,8.59202622848675,8.703140942579019
32,6.47678797423212,6.0179756979358645,19.966107275734128
33,2.278264228510005,3.4795772189322642,5.77218126874984
34,6.427428130413901,5.9513411800055875,15.210581773321502
35,5.978830576038992,6.660890547396077,8.630829072672507
36,1.3575066557174993,7.584812060967359,8.632399074161388
37,6.511522746884764,7.3607434991143155,13.036620261121378
38,4.010370682453001,8.007170919610179,15.437192101863229
39,3.101451600378723,2.684750870507311,5.248817433917842
