driver_id,home_lat,home_lng,shift_start,shift_end,capacity
0,3.3436281131048218,0.7550336380388922,10,15.506492441494903,1
1,2.7230185472029946,8.974304098188842,10,15.053156933318586,1
2,8.007497714861211,9.789314356159611,10,15.67957771891314,1
3,8.669937600115235,4.079844953648447,10,15.10344519051868,1
4,2.538885640433043,1.961130996934528,10,15.011015758212068,1
5,5.950489797004206,3.3927124589619098,10,15.138887035527,1
6,8.87460482513503,5.567215847833661,10,15.441626192621014,1
7,8.053149673579052,9.887287819554428,10,15.206394804353959,1
8,8.06850148962586,9.626493185548746,10,15.888819451154546,1
9,1.4108184877771357,4.06392308273522,10,14.6479801222136,1
10,0.8692501495034932,6.332407749109605,10,15.471809226392004,1
11,8.481280954668835,1.227768896627085,10,15.752888151750588,1
12,6.429255636142532,7.0394613513850945,10,15.821248007080609,1
13,6.247612710432511,3.358658571498351,10,15.65021466284532,1
14,3.6305921219509054,0.34228110820529123,10,15.661309013130499,1
15,3.451921448812756,7.738345232013403,10,14.72551578933189,1
16,8.610680199747216,2.195105250809587,10,15.94909453039774,1
17,7.797587747880308,1.1423792592039683,10,15.13155323993312,1
18,9.853673122417346,4.710654526938144,10,14.364214277643168,1
19,4.8477836715034615,5.124576558819216,10,15.483373888457331,1
20,6.988458531609044,4.025500435969805,16,22.0,1
21,2.180231074940865,6.450541677693295,16,22.0,1
22,4.217039345532818,1.322762111253304,16,22.0,1
23,9.005723012363857,6.912218576096544,16,22.0,1
24,6.831838564454814,8.225838759116739,16,22.0,1
25,5.2966167865508105,8.150544284024571,16,22.0,1
26,4.980907535110058,0.6717539991571009,16,22.0,1
27,4.052480880276887,4.9746489397989055,16,22.0,1
28,7.202025816322958,1.0657873012867436,16,22.0,1
29,1.40018538660449,2.6368380263461644,16,22.0,1
30,2.664983933708822,7.321845784590623,16,22.0,1
31,2.5073066056159776,6.330980633574476,16,22.0,1
32,4.942738501382714,5.732943781794006,16,22.0,1
33,8.381069631782958,4.043815015490243,16,22.0,1
34,7.709113770642705,4.2203605955068735,16,22.0,1
35,3.5387137656124947,9.586271773132205,16,22.0,1
36,1.8437092067896321,0.9033696057760787,16,22.0,1
37,7.709859255354785,0.6824970535409158,16,22.0,1
38,8.370789907030293,4.3719339635724355,16,22.0,1
39,9.15513677291914,7.215328611219056,16,22.0,1
40,6.104046670079576,9.493067970577657,10,22.0,1
41,3.9664937305205425,9.54086936539633,10,22.0,1
42,1.3500127742120693,4.8375494193241275,10,22.0,1
43,2.699112223921949,5.398427789081934,10,22.0,1
44,1.6201387789158461,8.415296603100433,10,22.0,1
45,8.464078493145573,9.55236312723479,10,22.0,1
46,1.5467214088323622,6.233325509049907,10,22.0,1
47,4.742373087003696,3.4438373204423325,10,22.0,1
48,3.515401611342188,4.127935506067523,10,22.0,1
49,7.049255496889531,5.982860582681546,10,22.0,1
